block_number,transaction_index,transaction_hash,nonce,from_address,to_address,value_binary,value_string,value_f64,input,gas_limit,gas_used,gas_price,transaction_type,max_priority_fee_per_gas,max_fee_per_gas,success,n_input_bytes,n_input_zero_bytes,n_input_nonzero_bytes,chain_id
18093763,10,0x4c2e8c45e8a79111e63aa654bc675bb0c9904ff1ec5622d1da6abbf442630dcf,61,0xac6295594aa31b9f208000064ba57c273a4e4415,0x897da0d29d835ab39a418d9ed10543115a0c4b75,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0x095ea7b30000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d000000000000000000000000000000000000000000000000016345785d8a0000,46265,46265,24359897080,0,,,true,68,38,30,1
18093763,11,0xb7076ba350ec3dcefe7d83afdd66d0d2e430a19d44bfbcb1217b7f54af0aa10b,4,0x11d01643652dc5c7cfdcf289b66ea64225458d12,0x4bed50ff1cc9d32cbdf4f7b7cace22e376667158,0x000000000000000000000000000000000000000000000000101e14f85549f1e8,1161388810723521000,1.161388810723521e18,0x,21000,21000,24342346499,2,24342346499,24342346499,true,0,0,0,1
18093763,12,0x3103743c825c28965528a7941153a05e74ef3cb3fb444d15e428ad1d252e2be7,2147,0x8c0ea77a22ca8c1edbabf504e4c5fc970c59a208,0xbf94a2ceeaa256a0444970176813be7841147f18,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0x095ea7b30000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488dffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,56626,47188,24323989880,2,3000000000,33318241997,true,68,12,56,1
18093763,13,0xc9f000091188e3a04bdb9659a685c8179b990b527ef730b179777ad5b168bd8d,326,0x531df3de264e4c2d78e39ff3cf895fda1830d5bf,0x7471fc7b6fb0a240ebcd7502a0287974a8ca1764,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0x095ea7b30000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488dffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,56626,47188,24323989880,2,3000000000,33318241997,true,68,12,56,1
18093763,14,0xc863b8d8b74f3166f233d846c0e45be3d2c8c26f9f932168b7c52c8f37df2a7e,168,0x635ede080985c2cdd9036a9cb70d4776ddbbb0a9,0x418ed8e80170dbb0159c58d7c41111808e04a400,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0x095ea7b30000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488dffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,55893,46577,24323989880,2,3000000000,33318241997,true,68,12,56,1
18093763,15,0xe6800b6b4685616885ea32812b267455b9d1c81c262dba4da5f04268830352ce,30,0x748de79502ee560ad4dca87b6ff851016633e260,0xd5fbda4c79f38920159fe5f22df9655fde292d47,0x000000000000000000000000000000000000000000000000007d74571a28b460,35312289538684000,3.5312289538684e16,0x,21000,21000,24323989880,2,3000000000,24928593396,true,0,0,0,1
18093763,16,0x02da5e1de65a22424238743acb34ed6f4836d37b0f4823997f24d4059ccc5ce5,439,0xbb8eeb1b3494e123144ce38e1aac8f7b96b5efa5,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x0000000000000000000000000000000000000000000000002b05699353b60000,3100000000000000000,3.1e18,0x3598d8ab000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000002b4c4eaa8fbc21f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20001f42260fac5e5542a773aa44fbcfedf7c193bc2c5990001f418084fba666a33d37592fa2633fd49a74dd93a88000000000000000000000000000000000000000000000000000000000000869584cd00000000000000000000000008a3c2a819e3de7aca384c798269b3ce1cd0e437000000000000000000000000000000009d7766abad551c80260785441dbb2572,278682,175272,24000000000,0,,,true,296,178,118,1
18093763,17,0xdbb69ccb1dd5488dadec14b717517f75c4373e93d931be4684ab2d034bb11d57,680419,0x8216874887415e2650d12d53ff53516f04a74fd7,0xf857006fb904984b85007fe738b470a14bf56382,0x000000000000000000000000000000000000000000000000003272d323cf8000,14200000000000000,1.42e16,0x,21000,21000,23975989880,2,2652000000,29953050617,true,0,0,0,1
18093763,18,0xdbe33b8480e8cc5e160e46c8da1decdb86de80e4469827693757bd01db1d9525,1346630,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xa26af2851372264b5ed1a481b2a28ebee26cf6f0,0x00000000000000000000000000000000000000000000000008fe838426ee4000,648100000000000000,6.481e17,0x,90000,21000,23323989880,2,2000000000,250000000000,true,0,0,0,1
18093763,19,0x34940cbb937c23e5388a84ea75dcfbed7502a6a94b82c29572dd3da56497a63a,176,0x2b15058e5d90e1803580e9e559614979c168ee11,0x42076bb1d55df60aecf4c200b0f919e533678c25,0x000000000000000000000000000000000000000000000000000d931a6a397cca,3820916357823690,3820916357823690.0,0x,21000,21000,23323989880,2,2000000000,28410479990,true,0,0,0,1
