block_number,transaction_index,transaction_hash,nonce,from_address,to_address,value_binary,value_string,value_f64,input,gas_limit,gas_used,gas_price,transaction_type,max_priority_fee_per_gas,max_fee_per_gas,success,n_input_bytes,n_input_zero_bytes,n_input_nonzero_bytes,chain_id
15596644,0,0x5c981e62eca14546cb2eb2e6e776b69e3c7af8c28b378ce41502e6e27d0bb164,72857,0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,0x4a220e6096b25eadb88358cb44068a3248254675,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb0000000000000000000000005e7d3fdcbf6942fb22cf2d7d5bafa34d8a1904420000000000000000000000000000000000000000000000000e88d8c8baa3dc00,300000,34857,53000000000,0,,,true,68,37,31,1
15596644,1,0x20cd91dc92ed633d9df3a6c1224023da0bffeadf51ec47203f0391cbfd7d7209,1202572,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb0000000000000000000000000c0d59255a4cd876d98b95accdb2696e83708b1b00000000000000000000000000000000000000000000000000000001c3cd9f00,200000,46109,40810000000,0,,,true,68,40,28,1
15596644,2,0x5a1d0ce9f68b75faa0da26ce89c4fbe38c940d69f866237022a06c515739c16f,560,0xfa6cf2faccdd2f52dbea3d8ae56444232f82bd77,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0x791ac9470000000000000000000000000000000000000000000000037276c96c00a0b4d4000000000000000000000000000000000000000000000000006fa6fd9d45c24400000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000fa6cf2faccdd2f52dbea3d8ae56444232f82bd7700000000000000000000000000000000000000000000000000000000632dc29f0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000702460141a720ccdd436944dfbd23bbbf51783a5000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,500000,237505,40000000000,2,40000000000,40000000000,false,260,175,85,1
15596644,3,0x64d94089712e74768149696de207e04617ed46f56ae04c0c681ddb9b91ba227c,24657,0x30741289523c2e4d2a62c7d6722686d14e723851,0x3d382228c54736d831fac2748f4734d9177c7332,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb0000000000000000000000000bd49b44bd9a4db9cb25b5564661fa1032ff12900000000000000000000000000000000000000000000000f9186f5aa587ec0000,82537,51861,36906561000,0,,,true,68,37,31,1
15596644,4,0xeaed3af1d316015615acab9c2c820ca8fd4d4dc640bae715dad39f8533c6eb0b,0,0x3b7430b17288c9cf4b3bac0b07b2cc6d2af9c64d,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb000000000000000000000000fdb16996831753d5331ff813c29a93c76834a0ad000000000000000000000000000000000000000000000000000000009150ed80,105000,41309,36088458200,0,,,true,68,40,28,1
15596644,5,0xc5950a9aee88ce073386e16345758049db4b0d3bd0c1a9a5e3a40a21d9cc8ebe,0,0xba4db17d573c9a4a348f0fdb6206842783f819a4,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb0000000000000000000000000a98fb70939162725ae66e626fe4b52cff62c2e50000000000000000000000000000000000000000000000000000000091a686e7,105000,41309,35419539800,0,,,true,68,40,28,1
15596644,6,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,3124,0x2f2648328497a95ab21fb3e3ce5039f271686f36,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0x791ac94700000000000000000000000000000000000000000007f0e10af47c1c700000000000000000000000000000000000000000000000000000000262ede88111613300000000000000000000000000000000000000000000000000000000000000a00000000000000000000000002f2648328497a95ab21fb3e3ce5039f271686f3600000000000000000000000000000000000000000000000000000000632dc2b70000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c6c1468fd63ed0652d3404e90e87dacf403e299d000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,249331,178088,33100102867,2,15708428215,34415004356,true,260,174,86,1
15596644,7,0x717bb2f935444ed3c21f15222e0db16b2bedd793fa5e395d3c0d9442bf0d41a9,1,0x76ea6d8497ed9b63a2bbef8d4822ca59a045a29f,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb000000000000000000000000fdb16996831753d5331ff813c29a93c76834a0ad0000000000000000000000000000000000000000000000000000000091614f6c,105000,41309,32255213600,0,,,true,68,40,28,1
15596644,8,0xa48122ce75d2fa447491e2d029c1912fea3a244bae94e550783ae0fc5f76c822,2,0xae5c004ff1305ae87f829df58ad394662e85851a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb00000000000000000000000046705dfff24256421a05d056c29e81bdc09723b80000000000000000000000000000000000000000000000000000000091616323,105000,41309,32255213600,0,,,true,68,40,28,1
15596644,9,0xeb50d3491228b8d874d677a012215bf6f50a4aa597a3c8e99fbd9a0ec3fc0710,0,0xa66de455ed4bf483db9e2496f6d0db414102a6a0,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000000000000000000000000000,0,0.0,0xa9059cbb000000000000000000000000fdb16996831753d5331ff813c29a93c76834a0ad00000000000000000000000000000000000000000000000000000000915c5437,105000,41309,32255213600,0,,,true,68,40,28,1
